Number of samples in the network,10000,20000,30000,40000,50000,60000,70000,80000,90000,100000,110000,120000,130000,140000,150000,160000
Sample rate of the main closure,0.89083,0.9384,0.94921,0.958295,0.961796,0.965016667,0.968498571,0.97187,0.973952222,0.976302,0.978014545,0.9787775,0.979727692,0.980985,0.98154,0.98207125
