SampleID,p__Others,p__Planctomycetes,p__Verrucomicrobia,P__Actinobacteria,p__Acidobacteria,p__Cyanobacteria,p__Bacteroidetes,p__Firmicutes,p__Proteobacteria,,,,,,,
Freshwater_S14,0.06272289,0.00576541,0.0406905,0.11434,0.075283,0.046345,0.093359,0.0566562,0.504838,,,,,,,
Freshwater_S18,0.015171,0,0.04989,0.027211,0,0,0.208916,0.305822,0.39299,,,,,,,
Freshwater_S03,0.027592877,0,0.0313642,0.0406812,0.000167723,0.017548,0.202413,0.343224,0.337009,,,,,,,
Freshwater_S07,0.023086773,0,0.0246824,0.00710388,0.000159447,0.0125325,0.246556,0.373054,0.312825,,,,,,,
Freshwater_S08,9.88466E-05,0.00573607,7.42E-05,0.0294683,0.00647781,0.0173318,0.199605,0.445723,0.295485,,,,,,,
Freshwater_S02,0.001443243,0,6.11E-05,0.0234815,0,0.0565082,0.182784,0.465494,0.270228,,,,,,,
Freshwater_S04,-4E-07,0,0,0.0797522,0,0.0175112,0.200793,0.440318,0.261626,,,,,,,
Freshwater_S05,0.000253251,0,5.01E-05,0.0226716,0.0445826,0.0129134,0.178768,0.490661,0.2501,,,,,,,
Freshwater_S11,0.010058011,0.000836399,0.0031242,0.206836,0.00346859,0.212872,0.0365408,0.29589,0.230374,,,,,,,
Freshwater_S01,0.00454757,0.00683496,0.00153787,0.171977,0.0085437,0.0558514,0.0660005,0.55271,0.131997,,,,,,,
Freshwater_S06,0.000383,0,0.0405317,0.0189474,0,0.0188519,0.203657,0.589343,0.128286,,,,,,,
Gut_S03,3.9E-07,0,0.00034579,0.00295362,0,0,0.388457,0.557727,0.0505162,,,,,,,
Gut_S10,3.5E-07,0,0,0.00736275,0,0,0.418427,0.533121,0.0410889,,,,,,,
Gut_S09,-1.7E-07,0,0.00047368,0.00574489,0,0,0.596187,0.358031,0.0395636,,,,,,,
Gut_S19,0.000336607,0,0.000269303,0.0120738,0,0.00100989,0.274411,0.676111,0.0357884,,,,,,,
Gut_S17,0.000193064,0,0.000145336,0.0137262,0,0,0.28443,0.669031,0.0324744,,,,,,,
Gut_S12,-3.97E-07,0,0.000793477,0.0080538,0,0.00103152,0.363922,0.594946,0.0312536,,,,,,,
Gut_S16,1.49E-07,0,0.000147911,0.000394429,0,0.000147911,0.436112,0.537484,0.0257136,,,,,,,
Gut_S13,5.506E-05,0,0.00210199,0.00378995,0,0,0.400164,0.568217,0.025672,,,,,,,
Gut_S05,-8.93E-07,0,0.000217543,0.00154455,0,0,0.375167,0.601222,0.0218498,,,,,,,
Gut_S18,7.09E-07,0,0.000119597,0.0063732,0,0.000239194,0.311602,0.660959,0.0207063,,,,,,,
Gut_S02,0.001123089,0,8.37E-05,0.00259722,0,0,0.667681,0.309478,0.019037,,,,,,,
Gut_S15,-3.294E-07,0,6.67E-05,0.0325751,0,0,0.192344,0.756383,0.0186315,,,,,,,
Gut_S11,7.28E-05,0,0,0.0252969,0,0,0.240977,0.716291,0.0173623,,,,,,,
Gut_S14,2.3E-07,0,0,0.00746867,0,0,0.565589,0.409667,0.0172751,,,,,,,
Gut_S01,7.28788E-05,0,0.000402601,0.00683202,0,7.32E-05,0.266473,0.710044,0.0161023,,,,,,,
Gut_S20,0.00021634,0,0,0.00540011,0,0,0.212157,0.772696,0.00953055,,,,,,,
Gut_S08,-1.1E-07,0,0.00128871,0.00932316,0,0,0.143715,0.836221,0.00945224,,,,,,,
Gut_S06,0.009301045,0,0.00127356,0.00696856,7.72E-05,0,0.373265,0.599798,0.00931665,,,,,,,
Gut_S04,0.00394242,0,0,0.00350333,0,0.00619918,0.734984,0.242521,0.00885007,,,,,,,
Gut_S07,0.000355727,0,0.000399663,0.00793998,0,0,0.633037,0.354581,0.00368663,,,,,,,
