,10000,20000,30000,40000,50000,60000,70000,80000,90000,100000,110000,120000,130000,140000,150000,160000,
Mean shortest transition step of the main closure,14.27929669,10.84806799,9.613683753,8.973635768,8.639206928,8.406590527,8.212370965,7.913908121,7.865078936,7.760421586,7.674641703,7.497741695,7.448296786,7.369653261,7.295929701,7.337253696,
Max. shortest transition step of the main closure (diameter),61.7,46.4,39.3,35.6,32.8,31.3,30.9,31.1,30.4,30.1,30.1,29.8,29.6,29.6,29.4,28.4,
