,PC1,PC2,Type
S_1742.DM117,0.25567633,0.009408211,add_Building
S_1742.DM20,0.266027925,0.005788531,add_Building
S_1742.DM122,0.256671972,0.013060682,add_Building
S_1742.DM119,0.251887175,0.01552204,add_Building
S_10172.716,0.26504294,-0.009933938,add_Building
S_10105.beer.125,0.258971114,0.025452357,add_Building
S_10423.6TYV3JKTN5ROR,0.172042438,0.021978265,add_Building
S_1742.DM126,0.228858042,0.024334143,add_Building
S_1742.DM133,0.25321141,0.020487461,add_Building
S_10105.beer.182,0.260365169,0.033551621,add_Building
S_10105.beer.230,0.257349742,0.034003392,add_Building
S_ERR504212,0.272951329,0.020097486,add_Building
S_2192.H03a.Bedroom.Floor.1228.lane5.NoIndex.L005,0.266758792,0.023818304,add_Building
S_10172.688,0.274220293,0.025208401,add_Building
S_SRR999159,0.216622986,0.032241813,add_Building
S_1742.DM154,0.230271949,0.033695217,add_Building
S_1742.DM155,0.234311435,0.03160289,add_Building
S_1772.H18Di,0.283568605,0.000777555,add_Building
S_10172.738,0.22792435,0.037370068,add_Building
S_1884.Cheese.A2,0.233223854,0.047459437,add_Building
S_1884.Cheese.A3,0.212945541,0.057276905,add_Building
S_1884.Cheese.A4,0.250388415,0.033936876,add_Building
S_10172.2837,0.271305712,0.027124433,add_Building
S_10172.482,0.267459901,0.019988132,add_Building
S_10172.750,0.278130697,0.026770822,add_Building
S_10172.6987,0.257740029,0.011822597,add_Building
S_ERR166175,0.265162608,0.02400712,add_Building
S_10172.657,0.271656227,0.013728715,add_Building
S_10172.2712,0.220319445,0.018898758,add_Building
S_10105.v4.4.460,0.267032512,0.030617311,add_Building
S_1772.H55Fr,0.218576619,0.040614468,add_Building
S_10423.4I1D8NT5W8EEJ,0.196712981,0.021167499,add_Building
S_10172.656,0.264909288,0.017569204,add_Building
S_10423.319UK13GMF18A,0.248679155,0.000353535,add_Building
S_10172.7494,0.236337907,0.018154546,add_Building
S_10172.9519,0.259943111,0.019130067,add_Building
S_10172.3114,0.24211347,0.032358476,add_Building
S_10172.1893,0.240471906,0.035050266,add_Building
S_1772.H62Do,0.239325819,0.020585013,add_Building
S_10764.56304,-0.009077439,0.1435128,add_Food
S_11261.CW123.F1.T5,0.15768568,0.03266864,add_Food
S_2278.SAKE.41,0.212538495,0.001554467,add_Food
S_11261.CW75.S.R3.T1,0.212773942,0.026285491,add_Food
S_11261.CW73.S.R1.T1,0.232279777,0.027654842,add_Food
S_11261.CW74.S.R2.T1,0.217453488,0.025423285,add_Food
S_1622.DP.5.6A.1,0.286952494,-0.0055717,add_Lake
S_1883.2000.006.Crump.Artic.LTREB.main.lane1.NoIndex,0.282222789,-0.007609587,add_Lake
S_1288.TBE05Jan08.McMahon.Pool.2.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.2.1.sequence,0.254360958,-0.010793542,add_Lake
S_1883.2007.506.Crump.Artic.LTREB.main.lane2.NoIndex,0.193274035,-0.06269913,add_Lake
S_1288.WSBH23Aug07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.1.1.sequence,0.259373285,0.001447961,add_Lake
S_1288.WSBH23Aug07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.7.1.sequence,0.259195953,0.001567404,add_Lake
S_1288.WSBH07Aug07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.7.1.sequence,0.247021157,-0.004308058,add_Lake
S_1288.WSBH07Aug07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.1.1.sequence,0.245729035,-0.005513104,add_Lake
S_1883.2005.09.Crump.Artic.LTREB.main.lane1.NoIndex,0.26889067,0.011413609,add_Lake
S_1883.2008.435.Crump.Artic.LTREB.main.lane2.NoIndex,0.282020596,-0.043661447,add_Lake
S_1883.2008.151.Crump.Artic.LTREB.main.lane2.NoIndex,0.286817689,-0.016591517,add_Lake
S_1883.2011.305.Crump.Artic.LTREB.main.lane4.NoIndex,0.290444734,-0.011903389,add_Lake
S_1883.2009.059.Crump.Artic.LTREB.main.lane3.NoIndex,0.272482112,0.01141121,add_Lake
S_638.RMK.ENR.34.2,0.242607848,0.031971418,add_Lake
S_456.PM8x10708,-0.339256084,-0.019593824,add_Mammal_animal
S_456.PM2x10808,-0.339598393,-0.025544057,add_Mammal_animal
S_456.PM11x121707,-0.323872795,-0.293136678,add_Mammal_animal
S_10407.Lc339,-0.325983672,-0.333226885,add_Mammal_animal
S_ERR1310401,-0.364114491,-0.128687223,add_Mammal_animal
S_ERR965709,-0.313511641,-0.095051291,add_Mammal_animal
S_10483.recip.412.ASO.HC2.D14,-0.369201131,-0.184182331,add_Mammal_animal
S_10483.recip.435.ASO.HC3.D21,-0.325941119,-0.386202562,add_Mammal_animal
S_11349.sample3114,-0.189244477,-0.419353507,add_Mammal_animal
S_11349.sample3352,-0.190530611,-0.416390519,add_Mammal_animal
S_11349.sample3338,-0.212213459,-0.409316666,add_Mammal_animal
S_11349.sample3545,-0.231541904,-0.388999003,add_Mammal_animal
S_SRR5511138,-0.253510405,-0.239770884,add_Mammal_animal
S_SRR5511136,-0.243828141,-0.26265394,add_Mammal_animal
S_SRR5511129,-0.228572362,-0.269883546,add_Mammal_animal
